"U.S. Senator, Full Term (Vote for  1)   **** - Insufficient Turnout to Protect Voter Privacy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Times Cast,"Registered 
Voters",,Undervotes,Overvotes,Precinct,"STEVE GARVEY
(REP) ",,"DENICE GARY-PANDOL
(REP) ",,,"LAURA GARZA
(NPP) ",,"SEPI GILANI
(DEM) ",,,"DON J. GRUNDMANN
(NPP) ",,"FORREST JONES
(AI) ",,"BARBARA LEE
(DEM) ",,"GAIL LIGHTFOOT
(LIB) ",,"SARAH SUN LIEW
(REP) ",,"SHARLETA BASSETT
(REP) ",,"JAMES BRADLEY
(REP) ",,"MARTIN VEPRAUSKAS
(REP) ",,"ERIC EARLY
(REP) ",,"ADAM B. SCHIFF
(DEM) ",,"MAJOR SINGH
(NPP) ",,"STEFAN SIMCHOWITZ
(REP) ",,"CHRISTINA PASCUCCI
(DEM) ",,"DAVID PETERSON
(DEM) ",,"PERRY POUND
(DEM) ",,"KATIE PORTER
(DEM) ",,"DOUGLAS H. PIERCE
(DEM) ",,"RAJI RAB
(DEM) ",,"MARK RUZON
(NPP) ",,"JONATHAN REISS
(REP) ",,"JOHN ROSE
(DEM) ",,"HARMESH KUMAR
(DEM) ",,"JAMES ""JIM"" MACAULEY
(REP) ",,Total Votes,"DANNY FABRICANT
Qualified Write In 
",,"CARLOS GUILLERMO TAPIA
Qualified Write In 
",,"MICHAEL JOSEPH DILGER
Qualified Write In 
",,"JOHN DOWELL
Qualified Write In 
",
Countywide,,,,,,Countywide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electionwide,,,,,,Electionwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200100,,,,,,200100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,86,"3,492",,3,1,Election Day,9,,0,,,0,,0,,,0,,1,,25,,0,,1,,1,,1,,0,,0,,25,,0,,0,,0,,0,,1,,18,,0,,0,,0,,0,,0,,0,,0,,82,0,,0,,0,,0,
Vote by Mail,"1,961","3,492",,26,3,Vote by Mail,70,,0,,,0,,2,,,0,,0,,427,,5,,1,,0,,0,,1,,6,,995,,1,,1,,6,,2,,0,,412,,1,,1,,0,,1,,0,,0,,0,,"1,932",0,,0,,0,,0,
Total,"2,047","3,492",,29,4,Total,79,,0,,,0,,2,,,0,,1,,452,,5,,2,,1,,1,,1,,6,,"1,020",,1,,1,,6,,2,,1,,430,,1,,1,,0,,1,,0,,0,,0,,"2,014",0,,0,,0,,0,
200200,,,,,,200200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,86,"2,359",,2,0,Election Day,2,,0,,,4,,0,,,0,,1,,27,,0,,0,,0,,0,,0,,0,,22,,1,,1,,1,,3,,1,,21,,0,,0,,0,,0,,0,,0,,0,,84,0,,0,,0,,0,
Vote by Mail,"1,130","2,359",,29,0,Vote by Mail,53,,2,,,2,,2,,,0,,0,,236,,0,,1,,0,,0,,0,,5,,566,,2,,0,,1,,0,,0,,230,,0,,0,,0,,0,,0,,0,,1,,"1,101",0,,0,,0,,0,
Total,"1,216","2,359",,31,0,Total,55,,2,,,6,,2,,,0,,1,,263,,0,,1,,0,,0,,0,,5,,588,,3,,1,,2,,3,,1,,251,,0,,0,,0,,0,,0,,0,,1,,"1,185",0,,0,,0,,0,
201400,,,,,,201400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,101,"3,681",,1,1,Election Day,7,,0,,,2,,0,,,0,,0,,29,,0,,0,,0,,2,,0,,0,,33,,0,,1,,0,,0,,0,,24,,0,,1,,0,,0,,0,,0,,0,,99,0,,0,,0,,0,
Vote by Mail,"1,844","3,681",,21,7,Vote by Mail,46,,0,,,3,,7,,,0,,0,,513,,0,,2,,0,,2,,0,,6,,805,,1,,2,,5,,0,,2,,419,,0,,0,,0,,0,,1,,1,,1,,"1,816",0,,0,,0,,0,
